addresses,hw_vendor,id,last_seen,names,os,os_version,sources
10.0.20.19,Proxmox,02fa8542-0242-47f6-b3d4-1f83de79fadf,1763100778,"RZBACNET-SERVER-2019.LOCALDOMAIN, RZBACNET-SERVER-2019",Debian Linux,12,"AzureAD, Nessus, runZero"
10.0.20.45,Dell,01845493-75a2-4c86-b239-cd7165704804,1763100778,RZBACNET-SERVER-2045,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
"23.20.0.30, 172.31.0.30, fde9:727a:d849:5156:9e3c:786f:dc6b:1c7c",AWS,0714c48f-806c-4326-a487-4d9883c72f02,1763100842,"RZCLOUD-SERVER-030, RZCLOUD-SERVER-030.LOCALDOMAIN, RZCLOUD-SERVER-030.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-030.COMPUTE.INTERNAL, RZCLOUD-SERVER-030.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.2.17, 172.31.2.17, fde9:727a:fbdb:21f3:10a0:dcea:7efc:7470",AWS,03c58d83-0616-4d2b-9153-1c77c6d2c184,1763100780,"RZCLOUD-SERVER-217, RZCLOUD-SERVER-217.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-217.COMPUTE.INTERNAL",Microsoft Windows Server (23H2),,"AWS, runZero"
198.51.27.7,Dell,035f2b77-8118-4712-8037-964cd4049688,1763100779,RZDMZ-SERVER-277,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.27.17,Intel,0479a255-5381-471f-b405-8cbf4536eac9,1763100779,RZDMZ-SERVER-2717,Ubuntu Linux,22.04,runZero
198.51.27.18,IBM,06d99716-953c-46f2-989b-55ca5025870b,1763100779,RZDMZ-SERVER-2718,Ubuntu Linux,22.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.28.20,IBM,05330344-faa9-4709-83b8-3015d3379fa0,1763100780,RZDMZ-SERVER-2820,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.28.42,VMware,02d16a7d-9c45-42dc-9acc-cb32bfb3a634,1763100781,"RZDMZ-SERVER-2842.LOCALDOMAIN, RZDMZ-SERVER-2842",Ubuntu Linux,,runZero
198.51.29.25,VMware,03b4d87f-82b7-487c-8824-dc92505dc5db,1763100782,"RZDMZ-SERVER-2925.LOCALDOMAIN, RZDMZ-SERVER-2925",Ubuntu Linux,,runZero
,SUSE,0c191253-8756-40dc-9edc-8c4e4d2ffe22,1763090750,RZDC-SERVER-1530,,,AzureAD
,HP,0d320242-639c-4a8a-8573-482e01154ace,1763090750,RZHQ-SERVER-924,,,AzureAD
,Dell,09276bef-cc70-48ed-8825-f1fbe3fe085f,1763090750,RZDC-SERVER-1947,,,AzureAD
10.0.1.8,SUSE,0edf054d-3094-46b8-9abc-c313f44b38ed,1763100779,RZHQ-SERVER-18,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.1.32,Dell,0a07658e-c709-4a86-b2ee-878bdab6513c,1763100779,RZHQ-SERVER-132,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.2.5,SUSE,0a312dba-28f2-4aa2-a950-579edf8fd303,1763100780,RZHQ-SERVER-25,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.2.6,Proxmox,0c5da357-de3d-4ba3-a4f9-b221e99a00d5,1763100780,"RZHQ-SERVER-26.LOCALDOMAIN, RZHQ-SERVER-26",Debian Linux,12,"AzureAD, Nessus, runZero"
10.0.4.11,HP,0b565e3f-e015-4bf4-8f2c-fa87b9927990,1763100783,RZHQ-SERVER-411,Ubuntu Linux,22.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.6.31,IBM,090aa053-bf00-45e3-83bc-ee58807d5272,1763100786,RZHQ-SERVER-631,CentOS Linux,,"AzureAD, Nessus, runZero"
10.0.10.41,IBM,0bb06795-04d0-4f4c-b8df-242f88c49be3,1763100778,RZBACNET-SERVER-1041,CentOS Linux,,"AzureAD, Nessus, runZero"
10.0.12.15,Dell,0819026e-31d7-48c0-b1e3-783b18d91bc0,1763100780,RZDC-SERVER-1215,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.12.26,VMware,0c793098-3bf2-4c9f-b47c-f8c57a16c589,1763100780,"RZDC-SERVER-1226.LOCALDOMAIN, RZDC-SERVER-1226",Ubuntu Linux,,"AzureAD, Nessus, runZero"
10.0.12.34,Microsoft,0fcf7fdd-98a0-4c8c-b265-a0898d6deb51,1763100780,"RZDC-SERVER-1234, RZDC-SERVER-1234.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.16.39,Microsoft,0b946900-1b8a-407e-ad5b-816f21ef6925,1763100785,"RZDC-SERVER-1639, RZDC-SERVER-1639.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.18.17,SUSE,0d497ced-8b5e-4209-b347-4f24f28eae55,1763100787,RZDC-SERVER-1817,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.18.44,Proxmox,0df94aef-850e-4148-8f93-7e08da2acb29,1763100787,"RZDC-SERVER-1844.LOCALDOMAIN, RZDC-SERVER-1844",Debian Linux,12,"AzureAD, Nessus, runZero"
10.0.19.29,HP,0e60ce97-ff67-48a1-9ac2-dd8f8beee095,1763100789,RZDC-SERVER-1929,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
"23.20.0.10, 172.31.0.10, fde9:727a:6b7a:797c:8298:dd22:21c:5c2c",AWS,0bff6663-455b-42a2-ae65-03e74a1bcf38,1763100777,"RZCLOUD-SERVER-010.RUNZERO.LOCAL, RZCLOUD-SERVER-010, RZCLOUD-SERVER-010.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-010.COMPUTE.INTERNAL",Microsoft Windows Server 2016 (RTM),10.0.14393,"AWS, runZero"
"23.20.1.1, 172.31.1.1, fde9:727a:dccc:b896:4f2a:d9c0:a2b1:e57d",AWS,0ef8edc3-479f-49f7-a8d4-9ea199729be9,1763100842,"RZCLOUD-SERVER-11, RZCLOUD-SERVER-11.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-11.COMPUTE.INTERNAL, RZCLOUD-SERVER-11.US-EAST-2.COMPUTE.AMAZONAWS.COM",,,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.1.14, 172.31.1.14, fde9:727a:6202:fac3:4dea:f527:c1d4:427",AWS,0df072bd-8653-4b4b-9ae1-5ac97f90f351,1763100779,"RZCLOUD-SERVER-114, RZCLOUD-SERVER-114.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-114.COMPUTE.INTERNAL",Ubuntu Linux,22.04,"AWS, runZero"
"23.20.1.49, 172.31.1.49, fde9:727a:8228:807c:4173:76f5:4435:6bb",AWS,0c322f52-5d6d-4401-b39f-643f22c6414a,1763100843,"RZCLOUD-SERVER-149, RZCLOUD-SERVER-149.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-149.COMPUTE.INTERNAL, RZCLOUD-SERVER-149.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,16.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.2.43, 172.31.2.43, fde9:727a:aa1f:e679:3373:6e77:60f0:f070",AWS,0c3c319a-9526-45ad-b291-785075320292,1763100843,"RZCLOUD-SERVER-243, RZCLOUD-SERVER-243.LOCALDOMAIN, RZCLOUD-SERVER-243.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-243.COMPUTE.INTERNAL, RZCLOUD-SERVER-243.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.3.15, 172.31.3.15, fde9:727a:2d76:67c9:7b0d:673d:5249:2cdd",AWS,0fcfe718-ee98-4b6b-8c1d-016cabe1903b,1763100781,"RZCLOUD-SERVER-315, RZCLOUD-SERVER-315.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-315.COMPUTE.INTERNAL",Ubuntu Linux,22.04,"AWS, runZero"
"23.20.3.20, 172.31.3.20, fde9:727a:8607:aeab:8eef:587e:428:5bf7",AWS,0907c44a-af1a-4483-a427-b842cb354bda,1763100842,"RZCLOUD-SERVER-320, RZCLOUD-SERVER-320.LOCALDOMAIN, RZCLOUD-SERVER-320.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-320.COMPUTE.INTERNAL, RZCLOUD-SERVER-320.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.3.34, 172.31.3.34, fde9:727a:4893:d96c:bd89:adc7:a65d:fe12",AWS,09135422-22a5-41a1-8a33-a28257b40e91,1763100782,"RZCLOUD-SERVER-334, RZCLOUD-SERVER-334.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-334.COMPUTE.INTERNAL",CentOS Linux,,"AWS, runZero"
"23.20.3.41, 172.31.3.41, fde9:727a:8935:9323:155:264d:483d:f246",AWS,0d6e91b0-188e-48ad-b0a8-8f5bc3706766,1763100782,"RZCLOUD-SERVER-341.LOCALDOMAIN, RZCLOUD-SERVER-341, RZCLOUD-SERVER-341.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-341.COMPUTE.INTERNAL",Ubuntu Linux,,"AWS, runZero"
198.51.25.31,Microsoft,0dfad5d3-b246-4711-a1cc-ca65f512384b,1763100777,RZDMZ-SERVER-2531,Microsoft Windows Server,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.25.47,Microsoft,0eb34cf5-7fcf-442c-9137-f1e315209802,1763100778,"RZDMZ-SERVER-2547, RZDMZ-SERVER-2547.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.26.16,Microsoft,0d2ee4f4-c8f1-4459-b970-4b52aa2e48db,1763100778,"RZDMZ-SERVER-2616, RZDMZ-SERVER-2616.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.26.31,Microsoft,0c670dbc-1c41-4085-b967-9c2fb6d79407,1763100778,"RZDMZ-SERVER-2631, RZDMZ-SERVER-2631.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.27.4,Microsoft,0961675b-1497-45d6-ab68-d466ad433b91,1763100779,RZDMZ-SERVER-274,Microsoft Windows Server,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.27.19,,08d91e7a-2c40-43fe-94a5-ca18b5d0b685,1763100779,RZDMZ-SERVER-2719,CentOS Linux,,runZero
198.51.27.49,HP,0aa06cd4-1854-42bc-abb5-42bceff4856d,1763100780,RZDMZ-SERVER-2749,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.27.50,Proxmox,09490701-a6fc-4116-a421-de471c0df9ae,1763100780,RZDMZ-SERVER-2750,Microsoft Windows Server (23H2),,runZero
198.51.29.9,VMware,0ae6602b-88f4-4c4d-aca1-efc62e2587dc,1763100782,"RZDMZ-SERVER-299.LOCALDOMAIN, RZDMZ-SERVER-299",Ubuntu Linux,,runZero
198.51.29.26,Microsoft,09283c14-1f93-4bdb-876a-c4223df88adf,1763100782,"RZDMZ-SERVER-2926, RZDMZ-SERVER-2926.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.29.32,IBM,0fd14668-78c0-4692-8cd3-6a19f19a12d6,1763100782,RZDMZ-SERVER-2932,,,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.29.36,Microsoft,0a60ade7-347e-4752-8aff-951a7ffe6402,1763100782,RZDMZ-SERVER-2936,Microsoft Windows Server,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.29.42,Microsoft,0c758bed-8086-4d4a-a8d5-d050cc57468f,1763100782,"RZDMZ-SERVER-2942, RZDMZ-SERVER-2942.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
,HP,163f085f-d66d-4e5a-a8f2-8ac13c980d9a,1763090750,RZHQ-SERVER-234,,,AzureAD
,IBM,118e169d-1364-4035-9439-4bbfb6952000,1763090750,RZDC-SERVER-1434,,,AzureAD
,HP,13225423-be2c-4dd4-9e21-e40af3791545,1763090750,RZHQ-SERVER-613,,,AzureAD
10.0.0.43,SUSE,14d0cc22-6eeb-49ea-b00e-90f58518c23c,1763100778,RZHQ-SERVER-043,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.3.17,Microsoft,111ad89d-b7c9-45f8-a40a-357c7ea66c04,1763100782,"RZHQ-SERVER-317, RZHQ-SERVER-317.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,"AzureAD, Nessus, runZero"
10.0.5.43,Microsoft,11deeae6-7b81-4d17-ba47-95fbf64d1a2b,1763100784,"RZHQ-SERVER-543, RZHQ-SERVER-543.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.8.38,Proxmox,100a4c53-f6de-4ac7-b812-663777072990,1763100790,RZHQ-SERVER-838.LOCALDOMAIN,Debian Linux,12,"Nessus, runZero"
10.0.9.48,VMware,1456551d-ab21-4677-9922-a89d588f32f6,1763100790,"RZHQ-SERVER-948.LOCALDOMAIN, RZHQ-SERVER-948",Ubuntu Linux,,"AzureAD, Nessus, runZero"
10.0.13.13,Proxmox,14c320ec-cf27-4d26-a655-202002217685,1763100780,,,,"Nessus, runZero"
10.0.14.33,HP,10292349-1dc4-4fd2-95b3-9f10c21b549a,1763100782,RZDC-SERVER-1433,Ubuntu Linux,22.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.14.36,Dell,10582fec-f73f-47b4-8d9e-c7c88fcce784,1763100782,RZDC-SERVER-1436,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.15.8,HP,12408ef5-780a-4106-8d5f-bc5cfbf68134,1763100783,RZDC-SERVER-158,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.16.22,SUSE,136786d9-47f0-4f14-9f63-d7e5f6d2e228,1763100784,RZDC-SERVER-1622,CentOS Linux,,"AzureAD, Nessus, runZero"
10.0.18.18,VMware,173c9bbd-4b80-40d1-87db-c6f0d33c5cfc,1763100787,"RZDC-SERVER-1818.LOCALDOMAIN, RZDC-SERVER-1818",Ubuntu Linux,,"AzureAD, Nessus, runZero"
10.0.19.44,Proxmox,14459e36-6883-488f-9480-a98aa76de52b,1763100790,RZDC-SERVER-1944.LOCALDOMAIN,Debian Linux,12,runZero
"23.20.0.4, 172.31.0.4, fde9:727a:a124:e645:cb78:4fe6:bf8c:c76f",AWS,17a3fdbf-de57-46ba-b7e1-fe74deb12eaa,1763100843,"RZCLOUD-SERVER-04, RZCLOUD-SERVER-04.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-04.COMPUTE.INTERNAL, RZCLOUD-SERVER-04.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,20.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.0.26, 172.31.0.26, fde9:727a:a4e6:176:2f8d:e9ef:f0b:bffc",AWS,100b2bfe-de9a-40d4-b89b-c3d688d4ad37,1763100842,"RZCLOUD-SERVER-026, RZCLOUD-SERVER-026.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-026.COMPUTE.INTERNAL, RZCLOUD-SERVER-026.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,20.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.1.42, 172.31.1.42, fde9:727a:fb60:ce1a:d033:284f:cde1:7bd6",AWS,14506228-cbd3-4f67-88f0-444554d55b39,1763100842,"RZCLOUD-SERVER-142, RZCLOUD-SERVER-142.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-142.COMPUTE.INTERNAL, RZCLOUD-SERVER-142.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,22.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.2.12, 172.31.2.12, fde9:727a:2a02:35f2:f081:998e:4728:3f09",AWS,10664a0d-e0c4-4d87-807a-ded594a1325b,1763100842,"RZCLOUD-SERVER-212, RZCLOUD-SERVER-212.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-212.COMPUTE.INTERNAL, RZCLOUD-SERVER-212.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,16.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.3.39, 172.31.3.39, fde9:727a:aa5e:f992:2209:4069:f6e3:6a27",AWS,16acedb7-b659-47f6-96e3-e11c545005d8,1763100843,"RZCLOUD-SERVER-339, RZCLOUD-SERVER-339.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-339.COMPUTE.INTERNAL, RZCLOUD-SERVER-339.US-EAST-2.COMPUTE.AMAZONAWS.COM",,,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.3.50, 172.31.3.50, fde9:727a:288b:4391:b24e:56bb:8f9:873c",AWS,129f03e0-a237-4e19-8d56-8dd7ad97d31d,1763100782,"RZCLOUD-SERVER-350, RZCLOUD-SERVER-350.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-350.COMPUTE.INTERNAL",Microsoft Windows Server (23H2),,"AWS, runZero"
"23.20.4.43, 172.31.4.43, fde9:727a:a0ab:b31e:7ff7:c8ec:2b7c:e56c",AWS,12d4beac-db40-4353-8a21-9cd37a0ac00c,1763100783,"RZCLOUD-SERVER-443, RZCLOUD-SERVER-443.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-443.COMPUTE.INTERNAL",Ubuntu Linux,22.04,"AWS, runZero"
198.51.25.28,Microsoft,162625de-c66b-43fb-aa58-f8cddbfc2c73,1763100777,"RZDMZ-SERVER-2528, RZDMZ-SERVER-2528.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.25.48,HP,13f65315-2c32-4dcb-be48-d433e2068e10,1763100778,"RZDMZ-SERVER-2548, RZDMZ-SERVER-2548.LOCALDOMAIN",Ubuntu Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.26.48,IBM,179a17ac-9351-456b-b304-44240a6c79fa,1763100779,"RZDMZ-SERVER-2648, RZDMZ-SERVER-2648.LOCALDOMAIN",Ubuntu Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.27.29,HP,1588627c-e746-49d7-af12-542e4bb79673,1763100780,RZDMZ-SERVER-2729,,,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.28.39,Microsoft,135dcbb0-3bc8-4754-8237-62dbf9470fc5,1763100781,"RZDMZ-SERVER-2839, RZDMZ-SERVER-2839.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.29.23,SUSE,141fabe8-6933-49c2-9c17-95a8ffa0d45b,1763100782,RZDMZ-SERVER-2923,Ubuntu Linux,16.04,"AzureAD, CrowdStrike, Nessus, runZero"
,IBM,1b4d6330-3906-4dd4-a757-0da0f7d29284,1763090750,RZHQ-SERVER-945,,,AzureAD
,IBM,18e91188-e5aa-451d-b1a8-721828102435,1763090750,RZHQ-SERVER-131,,,AzureAD
10.0.1.41,IBM,1f1ede48-413d-402a-a724-1dbdaa213c71,1763100779,"RZHQ-SERVER-141, RZHQ-SERVER-141.LOCALDOMAIN",Ubuntu Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.2.18,SUSE,1ecb8997-fd40-419f-9874-e8d212f0668b,1763100780,RZHQ-SERVER-218,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.3.46,IBM,1b303442-1d42-4ee2-9a18-09f9e4fdfe3f,1763100782,"RZHQ-SERVER-346, RZHQ-SERVER-346.LOCALDOMAIN",Ubuntu Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.3.50,Proxmox,1a011ae2-1f85-4c80-8e94-033e931bee0a,1763100782,RZHQ-SERVER-350.LOCALDOMAIN,Debian Linux,12,"Nessus, runZero"
10.0.4.8,Microsoft,1b1be8fa-f4bc-4cdc-a733-344cb750a425,1763100783,"RZHQ-SERVER-48, RZHQ-SERVER-48.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.6.37,Microsoft,1e5c5f2f-b04c-4e38-a78d-772c919b129e,1763100786,"RZHQ-SERVER-637, RZHQ-SERVER-637.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.6.39,Microsoft,1dea99ee-9740-4a23-a120-01e57c98954c,1763100786,"RZHQ-SERVER-639, RZHQ-SERVER-639.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.8.20,Microsoft,1e3ff9ff-4e56-473f-bfa3-ed8e97a128a2,1763100790,"RZHQ-SERVER-820, RZHQ-SERVER-820.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
"10.0.9.43, 10.0.10.49, 10.0.11.46, 10.0.19.18",SUSE,1d8c35a6-2b26-4a7f-8584-a7d470122388,1763100820,"N50LON.NQG, RZBACNET-SERVER-1049, CQKOL, RZHQ-SERVER-943",Debian Linux,9,"AzureAD, Nessus, runZero"
10.0.10.39,,1f579369-4c1d-4a21-be0c-bf99bf858556,1763100778,"RZBACNET-SERVER-1039, RZBACNET-SERVER-1039.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,runZero
10.0.11.39,Proxmox,1f68f517-2ea6-42da-94a5-d004d99b6d6b,1763100777,,,,"Nessus, runZero"
10.0.12.9,Microsoft,1cc85f38-17f6-45de-a872-ee65aa5f00bd,1763100780,"RZDC-SERVER-129, RZDC-SERVER-129.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.12.48,Dell,19149c45-87bd-4de2-8506-ff1e269054ff,1763100780,RZDC-SERVER-1248,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.14.9,IBM,185404af-9f9e-4084-b069-7bd3afe2779b,1763100782,RZDC-SERVER-149,CentOS Linux,,"AzureAD, Nessus, runZero"
10.0.15.9,IBM,1ce010f5-387a-4dd9-a644-551c130c3d58,1763100764,"RZDC-SERVER-159, CQKOL, N50LON.NQG",Debian Linux,9,"AzureAD, Nessus, runZero"
10.0.15.20,Dell,1fabc8af-2ec8-4a05-8fc2-26137bc2a97e,1763100783,RZDC-SERVER-1520,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.15.29,Proxmox,1e30f186-d403-4342-819c-68b0a2fbb617,1763100783,"RZDC-SERVER-1529.LOCALDOMAIN, RZDC-SERVER-1529",Debian Linux,12,"AzureAD, Nessus, runZero"
10.0.16.27,Microsoft,1b2a4e39-271b-4278-b037-7aabc6b9b1d4,1763100784,"RZDC-SERVER-1627, RZDC-SERVER-1627.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.19.5,IBM,1f86c1bf-399f-45f4-b14e-70cda16adc64,1763100789,RZDC-SERVER-195,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.19.47,Proxmox,1a80a2cd-1f6c-43f3-b8c1-a9ee1463886a,1763100790,,,,"Nessus, runZero"
"23.20.0.21, 172.31.0.21, fde9:727a:e2ea:167:cbf1:5545:a79d:907e",AWS,18e34dd1-dcb9-4df9-a270-009f2a50818a,1763100843,"RZCLOUD-SERVER-021, RZCLOUD-SERVER-021.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-021.COMPUTE.INTERNAL, RZCLOUD-SERVER-021.US-EAST-2.COMPUTE.AMAZONAWS.COM",CentOS Linux,,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.1.41, 172.31.1.41, fde9:727a:f959:51e4:fd33:e473:ea2c:85ee",AWS,1e0c4c0e-bdef-4414-bdc4-930025eabe35,1763100843,"RZCLOUD-SERVER-141, RZCLOUD-SERVER-141.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-141.COMPUTE.INTERNAL, RZCLOUD-SERVER-141.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,22.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
198.51.25.25,Dell,1c194d25-26da-4789-821e-4b8be105ab1b,1763100777,RZDMZ-SERVER-2525,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.25.27,SUSE,1faba3b6-fa00-48e9-9b7f-2391651ba86c,1763100777,RZDMZ-SERVER-2527,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
