name,description,type,category,severity,query,auto
HPE iLO 5 Vulnerable Firmware (<2.44),"Identifies HPE iLO 5 assets running firmware versions deemed ""recommended"" and ""critical"" to update by HPE",assets,security,high,"os:""iLO 5"" and (os_version:=1.% or os_version:=2.0% or os_version:=2.1% or os_version:=2.2% or os_version:=2.3% or os_version:=2.40 or os_version:=2.41 or os_version:=2.42 or os_version:=2.43)",false
FortiWeb WAF,Identifies FortiWeb web application firewall assets on the network,services,security,medium,"os:fortinet AND (tls.names:=""FWB%"" OR (tls.names:=""FV%"" AND NOT tls.names:=""FVE%"" AND NOT tls.names:=""FVC%""))",false
Asset OS past EOL,Finds assets running an OS with an expired end-of-life date,assets,compliance,medium,os_eol:<now,false
NFS Shares with Allow All,Identifies NFS shares that allow any client to mount them,services,policy,medium,"protocol:=""mountd"" and nfs.allowed:""%=*""",false
Confluence Servers,Identifies Confluence servers on the network that may be vulnerable to CVE-2022-26134,services,security,high,product:confluence OR (_asset.protocol:http AND protocol:http AND has:http.head.xConfluenceRequestTime),false
OMI WSMAN Vulnerable Versions,Assets running OMI WSMAN services vulnerable to OMIGOD.,services,security,high,"_asset.protocol:wsman AND wsman.productVendor:=""Open Management Infrastructure"" AND (wsman.productVersion:=0.% or wsman.productVersion:=1.0.% or wsman.productVersion:=1.1.% or wsman.productVersion:1.2.% or wsman.productVersion:=1.3.% or wsman.productVersion:=1.4.% or wsman.productVersion:=1.5.% or wsman.productVersion:=1.6.0-% or wsman.productVersion:=1.6.1-% or wsman.productVersion:=1.6.2-% or wsman.productVersion:=1.6.3-% or wsman.productVersion:=1.6.4-% or wsman.productVersion:=1.6.5-% or wsman.productVersion:=1.6.6-% or wsman.productVersion:=1.6.7-% or wsman.productVersion:=1.6.8-0)",false
Hikvision Devices with Open Webserver Ports,Finds Hikvision devices which may be vulnerable to unauthenticated RCE (CVE-2021-36260),assets,security,high,protocols:http AND (vendor:hikvision OR hw:hikvision),false
Apache HTTP Server 2.4.49/2.4.50 Vulnerable Versions,Finds Apache HTTP Server instances which may be vulnerable to unauthenticated file disclosure (CVE-2021-41773) or RCE (CVE-2021-42013),services,security,high,"product:""apache httpd"" AND protocol:http AND (http.head.server:""Apache/2.4.49"" OR http.head.server:""Apache/2.4.50"")",false
SMB Protocol In Use,,services,miscellaneous,info,protocol:smb,false
Cisco IOS XE instances with CLI access,Identifies Cisco IOS XE devices and virtual instances which may be vulnerable to rool-level command execution (CVE-2021-1529).,services,security,high,"_asset.protocol:snmp AND protocol:snmp AND snmp.sysDesc:""IOS-XE"" AND (_asset.protocol:telnet or _asset.protocol:ssh)",false
PAX point-of-sale devices,Identifies PAX point-of-sale terminal devices on the network,assets,security,medium,"mac_vendor:""PAX Computer Technology""",false
Services allowing SSLv2 and SSLv3 connections,Identifies assets which are allowing insecure SSLv2 and SSLv3 connections for their service(s),services,security,high,"_asset.protocol:tls AND protocol:""tls"" AND tls.supportedVersionNames:""SSL""",false
Authenticated Web Services with no encryption,,services,miscellaneous,info,"(_asset.protocol:http AND not _asset.protocol:tls) AND ( html.inputs:""password:"" OR last.html.inputs:""password:"" OR has:http.head.wwwAuthenticate OR has:last.http.head.wwwAuthenticate )",false
Windows Hosts with SMBv1 or 2 Enabled,,assets,miscellaneous,info,"protocol:smb1,smb2 and os:Windows",false
"HP LaserJet, PageWide, OfficeJet, and ScanJet printers","HP printer assets which may be vulnerable to ""Printing Shellz""",assets,security,high,"NOT hardware:""JetDirect"" AND (mac_vendor:""HP"" OR mac_vendor:=""Hewlett Packard%"" OR hardware:""HP%"" OR hardware:=""Hewlett Packard%"") AND (type:printer OR os.family:""LaserJet"" OR NOT (os:""%iLO%"" OR type:switch OR type:computer))",false
NTP Services With Skewed Clocks,Systems running the NTP daemon with a clock skew greater than one second.,services,maintenance,low,_asset.protocol:ntp and protocol:ntp and has:ntp.skew,false
Grafana Instances,Finds Grafana instances which may be exploitable via a path traversal vulnerability (leaked as an 0-day),assets,security,high,product:grafana,false
"CISA January 2022 guidance for patching three ""Known Exploited"" vulnerabilities","Per January 10th announcement from CISA (https://www.cisa.gov/uscert/ncas/current-activity/2022/01/10/cisa-adds-15-known-exploited-vulnerabilities-catalog), this query can help surface assets which may be susceptible to the three vulnerabilities with a remediation date of January 2022. U.S. FCEB agencies are required to honor these remediation dates via BOD 22-01.",services,compliance,medium,"_asset.protocol:http and protocol:http and ((product:""vmware vcenter"" and tcp_port:443) or (_asset.vendor:hikvision or hw:hikvision) or (_asset.protocol:http and protocol:http and (html.title:""FatPipe IPVPN"" or last.html.title:""FatPipe IPVPN"" or html.title:""FatPipe MPVPN"" or last.html.title:""FatPipe MPVPN"" or html.title:""FatPipe WARP"" or last.html.title:""FatPipe WARP"")))",false
Routers using vulnerable NetUSB modules,"Designed to support USB over IP, NetUSB module code vulnerable to CVE-2021-45608 contains an integer overflow vulnerability which can be successfully exploited (pre-authentication) to trigger a denial-of-service on the target router or even remote code execution (for more-advanced attackers). This query helps surface routing devices from vendors who manufactured vulnerable devices.",assets,security,medium,"(type:""router"" or type:""wap"") and (hardware:""d-link"" or hardware:""edimax"" or hardware:""netgear"" or hardware:""tenda"" or hardware:""tp-link"" or hardware:""western digital"")",false
Windows with vulnerable HTTP Trailer Support logic,"Modern Windows versions may contain a HTTP protocol stack with vulnerability CVE-2022-21907. Considered “low complexity” to exploit, successful exploitation does not require authentication and can yield remote code execution to an attacker. This query will surface potentially vulnerable assets.",assets,security,high,"os:""microsoft windows 10"" or os:""microsoft windows 11"" or os:""microsoft windows server 2019"" or os:""microsoft windows server 2022"" or (os:=""microsoft windows"" and os_version:="""")",false
Control Web Panel (CWP) Instances,Finds Control Web Panel (formerly CentOS Web Panel) instances which may be vulnerable to pre-auth remote code execution via exploitation of CVE-2021-45466 and CVE-2021-45467.,assets,security,high,"service.product:""CentOS Web Panel""",false
Linux instances vulnerable to PwnKit,Identifies assets running Linux distributions that were affected by PwnKit (CVE-2021-4034).,assets,security,high,"os:debian or os:ubuntu or os:mint or os:raspbian or os:=""red hat%"" or os:fedora or os:centos or os:cloudlinux or os:oracle or os:=""arch%"" or os:manjaro or os:suse",false
Samba instances,Identifies Samba instances which may potentially be vulnerable to CVE-2021-44142,services,security,high,"protocol:smb and (product:samba or smb.sessionID:=""0x00000000%"")",false
SAP NetWeaver,"SAP NetWeaver instances which may be vulnerable to ICMAD (CVE-2022-22532, CVE-2022-22533, CVE-2022-22536).",assets,security,high,product:netweaver,false
MXview instances,"Finds MXview instances which may be vulnerable to CVE-2021-38452, CVE-2021-38454, CVE-2021-38456, CVE-2021-38458, CVE-2021-38460, CVE-2021-40390, or CVE-2021-40392.",services,security,high,"_asset.protocol:http and protocol:http and (html.title:""mxview"" or last.html.title:”mxview”)",false
Zabbix instances,Finds Zabbix instances which may be vulnerable to CVE-2022-23131 and CVE-2022-23134.,assets,security,medium,product:zabbix,false
GitLab instances,"Identifies GitLab servers on the network which may be vulnerable to CVE-2022-0735, CVE-2022-0549, CVE-2022-0751, CVE-2022-0741, CVE-2021-4191, CVE-2022-0738, or CVE-2022-0489.",assets,security,high,product:gitlab,false
APC assets using TLS,"Finds APC assets which may be vulnerable to TLStorm (CVE-2022-22805, CVE-2022-22806, CVE-2022-0715).",assets,security,high,hw:apc AND protocol:tls,false
Veeam Distribution Service,"Identifies assets running the Veeam Distribution Service which expose the API and could include vulnerable Veeam Backup & Replication software (CVE-2022-26500, CVE-2022-26501).",assets,security,medium,tcp_port:9380,false
Log4J Applications,Identifies applications that use the Log4J library and may be affected by CVE-2021-44228,assets,security,high,"product:atlassian or product:avaya or product:coldfusion or product:coyote or product:cpanel or product:druid or product:""elastic search"" or product:""epolicy orchestrator"" or product:flink or product:graylog or product:hadoop or product:horizon or product:imc or product:jamf or product:jboss or product:jetty or (product:""kerio connect"" and protocol:http) or product:logstash or product:metabase or product:minecraft or product:mongodb or product:neo4j or product:openfire or product:pega or product:recoverpoint or product:resin or product:rundeck or product:symantec or product:sonicwall or product:solarwinds or product:sophos or product:splunk or product:tableau or product:tomcat or product:=""ubiquiti unifi"" or product:""vmware horizon"" or product:""vmware vcenter"" or product:""vmware vrealize"" or product:""vmware site recovery"" or product:vmanage or product:wowza or hw:netapp or hw:imc or hw:""ucs manager"" or hw:""crosswork son appliance"" or hw:""site recovery manager"" or hw:sonicwall or tcp_port:8983 or tcp_port:9092 or tcp_port:7077 or tcp_port:5347 or protocol:cassandra or protocol:elasticsearch",false
Netatalk/AFP instances,"Finds Netatalk instances (AFP services) on assets which may be vulnerable to CVE-2022-23121 (a.k.a. ""Mooncake"") and other critical CVEs.",assets,security,high,"port:548 AND (type:nas OR hw:""Western Digital"")",false
Kaspersky EDR/AV,Identifies Windows assets which are running Kaspersky EDR/AV,assets,audit,medium,"edr.name:""Kaspersky""",false
Computing assets without CrowdStrike,Finds laptops/desktops/servers which are missing CrowdStrike agents.,assets,compliance,info,not edr.name:crowdstrike and (type:server or type:laptop or type:desktop),false
Windows Kerberos Assets,Assets running Windows Kerberos service,services,audit,info,_asset.protocol:kerberos and protocol:kerberos and kerberos.errorCode:68 and os:windows,false
Windows NFS Assets,Windows assets running NFS,assets,audit,info,_asset.protocol:nfs and protocol:nfs and os:windows,false
Windows LDAP Assets,Windows assets running LDAP,services,audit,info,"_asset.protocol:ldap and protocol:ldap and (has:""ldap.isSynchronized"" or has:""ldap.domainControllerFunctionality"") and type:server and os:windows",false
Microsoft VPN instances,Microsoft Windows releases from Server 2008 through Server 2022 may contain an exploitable use-after-free vulnerability (CVE-2022-21972) in the included VPN software.,services,security,medium,_asset.protocol:pptp and protocol:pptp and pptp.vendor:microsoft,false
Cisco EOL VPN Routers Vulnerable to Zero-day RCE,"An attacker could exploit it by sending a specially crafted request to the web-based management interface, resulting in command execution with root-level privileges. For more information: 

[Overflow]https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sb-rv-overflow-s2r82P9v",assets,security,critical," hw:RV110W or hw:RV130 or hw:RV130W or hw:RV215W",true
DrayTek Vigor routers,Finds DrayTek Vigor router assets which may be vulnerable to CVE-2022-32548.,assets,security,high,"hw:""DrayTek Vigor""",false
AD Accounts with Host Logon Restrictions,Finds Active Directory accounts that can only log on to specific hosts,users,audit,info,has:userWorkstations,false
AD Expiring Accounts,Finds Active Directory accounts that are set to expire,users,audit,info,has:accountExpiresTS,false
AD Account Password Expired,Finds Active Directory accounts that have expired passwords,users,audit,info,passwordExpired:true OR msDS-UserPasswordExpiryTimeComputedTS:<now,false
AD Disabled Accounts,Finds Active Directory accounts that are disabled,users,audit,info,isDisabled:true,false
AD Domain Controllers,Finds assets that are domain controllers.,assets,audit,info,@ldap.computer.isDomainController:true,false
AD Locked Accounts,Finds Active Directory accounts that are locked,users,audit,info,isLockedOut:true,false
AD Managed Service Accounts,Finds Active Directory Managed Service Accounts,users,audit,info,objectClass:msDS-GroupManagedServiceAccount OR objectClass:msDS-ManagedServiceAccount,false
AD Accounts with Non-Expiring Passwords,Finds Active Directory accounts with passwords that are not set to expire,users,audit,high,passwordNeverExpires:true,false
FortiOS / FortiProxy / FortiSwitchManager assets,Fortinet assets which may be vulnerable to authentication bypass on the administrator interface via crafted HTTP/HTTPS requests (CVE-2022-40684).,assets,security,high,os:FortiOS or product:FortiProxy or product:FortiSwitchManager,false
Assets that haven't been scanned in 3 days,,assets,miscellaneous,info,alive:t last_seen:>72hours,true
OpenSSL 3.0.x with client certificate authentication enabled,Finds services using OpenSSL 3.0.x with client certificate authentication enabled. These services may be vulnerable to CVE-2022-3602 and CVE-2022-3786.,services,security,high,"_service.product:""OpenSSL:OpenSSL:3"" AND tls.requiresClientCertificate:""true""",false
Google Workspace Admins,Finds Google Workspace accounts that are Administrators,users,audit,info,source:googleworkspace isAdmin:t,false
Google Workspace Suspended Accounts,Finds Google Workspace accounts that are suspended.,users,audit,info,source:googleworkspace suspended:t,false
Google Workspace Accounts Not Requiring 2-Step Verification,Finds Google Workspace accounts which are not required to use 2-Step Verification (MFA),users,audit,info,source:googleworkspace isEnforcedIn2Sv:f,false
BMCs running MegaRAC firmware,"Locates Baseboard Management Controllers (BMCs) which may be vulnerable to CVE-2022-2827, CVE-2022-40242, and CVE-2022-40259.",assets,security,high,"type:""BMC"" and (hw:""MegaRAC"" or os:""MegaRAC"")",false
Cisco 7800/8800 series IP phones,Finds Cisco 7800 and 8800 series IP phones which may be vulnerable to CVE-2022-20968.,assets,security,high,"type:""IP Phone"" and (hw:""Cisco CP-78"" or hw:""Cisco CP-88"")",false
